営業部（受注販売課）,,リミット,,,,
等級,給料額,一般,副主任,主任,係長,課長
1,190000,○,○,○,○,○
2,191500,○,○,○,○,○
3,193000,○,○,○,○,○
4,194500,○,○,○,○,○
5,196000,○,○,○,○,○
6,197500,○,○,○,○,○
7,199000,○,○,○,○,○
8,200500,○,○,○,○,○
9,202000,○,○,○,○,○
10,203500,○,○,○,○,○
11,205000,○,○,○,○,○
12,206500,○,○,○,○,○
13,208000,○,○,○,○,○
14,209500,○,○,○,○,○
15,211000,○,○,○,○,○
16,212500,○,○,○,○,○
17,214000,○,○,○,○,○
18,215500,○,○,○,○,○
19,217000,○,○,○,○,○
20,218500,○,○,○,○,○
21,220000,○,○,○,○,○
22,221500,○,○,○,○,○
23,223000,○,○,○,○,○
24,224500,○,○,○,○,○
25,226000,○,○,○,○,○
26,227500,○,○,○,○,○
27,229000,○,○,○,○,○
28,230500,○,○,○,○,○
29,232000,○,○,○,○,○
30,233500,○,○,○,○,○
31,235000,,○,○,○,○
32,236500,,○,○,○,○
33,238000,,○,○,○,○
34,239500,,○,○,○,○
35,241000,,○,○,○,○
36,242500,,○,○,○,○
37,244000,,○,○,○,○
38,245500,,○,○,○,○
39,247000,,○,○,○,○
40,248500,,○,○,○,○
41,250000,,,○,○,○
42,251500,,,○,○,○
43,253000,,,○,○,○
44,254500,,,○,○,○
45,256000,,,○,○,○
46,257500,,,○,○,○
47,259000,,,○,○,○
48,260500,,,○,○,○
49,262000,,,○,○,○
50,263500,,,○,○,○
51,265000,,,,○,○
52,266500,,,,○,○
53,268000,,,,○,○
54,269500,,,,○,○
55,271000,,,,○,○
56,272500,,,,○,○
57,274000,,,,○,○
58,275500,,,,○,○
59,277000,,,,○,○
60,278500,,,,○,○
61,280000,,,,○,○
62,281500,,,,○,○
63,283000,,,,○,○
64,284500,,,,○,○
65,286000,,,,○,○
66,287500,,,,○,○
67,289000,,,,○,○
68,290500,,,,○,○
69,292000,,,,○,○
70,293500,,,,○,○
71,295000,,,,○,○
72,296500,,,,○,○
73,298000,,,,○,○
74,299500,,,,○,○
75,301000,,,,○,○
76,302500,,,,,○
77,304000,,,,,○
78,305500,,,,,○
79,307000,,,,,○
80,308500,,,,,○
81,310000,,,,,○
82,311500,,,,,○
83,313000,,,,,○
84,314500,,,,,○
85,316000,,,,,○
86,317500,,,,,○
87,319000,,,,,○
88,320500,,,,,○
89,322000,,,,,○
90,323500,,,,,○
91,325000,,,,,○
92,326500,,,,,○
93,328000,,,,,○
94,329500,,,,,○
95,331000,,,,,○
96,332500,,,,,○
97,334000,,,,,○
98,335500,,,,,○
99,337000,,,,,○
100,338500,,,,,○
